Name,Centrality,Community,node_id
物理符号你还不会写吗，希腊字母手写教程来啦！,2,4,240
长沙橘子洲,3,4,241
【惨】学历贬值就得要专升本？过来人说点实话：专科生的我选择升本是最正确的决定！,18,2,242
他在“缅北和柬埔寨”解救了，上百名 中国人【中柬义工——陈宝荣】可他却救不了自己…,15,4,243
王者，好自为之吧,1,22,244
越是无知，jump越高,1,22,245
韦神当年夺得金奖后！！！低调！！！,1,22,246
各学科老师测评课,1,22,247
英格兰1-1丹麦！凯恩本届欧洲杯首球，尤尔曼德惊天远射！南门到底什么战术？,1,22,248
姜萍被非法拘禁？,1,22,249
《罗小黑战记》第一集重制版——喵——[更新双窗口双声道对比],1,22,250
最强大脑选手潘周聃发视频敬贺姜萍，曾一样钻研数学奥妙：潜心向前,1,22,251
17年后《王牌》邀陈好重聚《粉红女郎》，41岁的“万人迷”，这些年去哪了,1,22,252
Wbg刘青松被斩杀的原因竟然是因为这？？？,1,22,253
抖音上视频实拍姜萍的数学笔记，请愿意考证的人看看有啥刺可挑 ！,1,22,254
大家如何评价qq小世界的精彩纷争,1,22,255
3月30日上午,17,4,256
河南高考一女生撕毁2人答题卡，被取消考试成绩，招生办：或精神崩溃失常,1,4,257
夜夜“笙”歌、滥“竽”充数、巧舌如“簧”，这三种乐器有什么区别？,1,4,258
探店打假一元一个生蚝无限吃，老板娘：你俩就是薅羊毛的！,52,4,259
2024北京中考数学第1题详解,1,4,260
丁真爆红前后对比,1,4,261
要命！娇妻们团建了！顾赵氏包围观众了！刘亦菲、佟大为《玫瑰的故事》04,1,4,262
鳄梨小哥退化史（2024～2013）（重制）,1,4,263
中科院博士爸爸辅导女儿打游戏，妈妈在旁边崩溃：亵渎我的书房,18,4,264
真没想到！袁亚湘院士发声，姜萍决赛难不难？64人得零分,18,1,265
学 竞 赛 前 VS 学 竞 赛 后  | 嘿嘿，真好玩 ！！！,4,1,266
3000平公司密室大逃脱！胜者瓜分6万元！影视飓风破产团建5.0,12,1,267
查理斯maybe聊张家口线下赛 想去只要说一声 maybe有点心动 想夺舍AR爽森,1,1,268
天降正义,3,1,269
质疑姜萍可以，但别太过分！,5,1,270
演都不演了，姜萍放弃：浙大夏令营，直接选择打工引热议,7,1,271
姜萍决赛打脸质疑者？又被扒出符号抄成主等于6，网友为此吵翻天,1,1,272
英语基础差零基础该如何学,9,1,273
神里迪卢克通关深渊12层,1,1,274
模拟王闰秋造假，阿里巴巴入局，姜萍事件真相全过程！！！,75,1,275
家里面有犯罪记录学什么专业好？张雪峰愁容满面,50,1,276
周深的粉丝绝对要注意了！,1,1,277
别人：唉! 校长，吃饭了吗?涟水校长：你怎么知道我们学校姜萍，数学竞赛全~球~第十二!,1,1,278
袋子口太短如何打结，慢动作教程来喽，再短的袋子口都能轻松打结，露一手的时候到了#亲子手工 #生活小妙招 #实用小技巧,12,2,279
《数  学  系  痛  度  表》,1,1,280
重看姜萍采访，你觉得是真是假,11,1,281
姜萍老师王闰秋，给全国的老师上了一课,1,3,282
清华刑法教授为“姜萍”发声，精英网友要起诉 刑法教授？！这真的是动了什么阶层的蛋糕了吗？,16,3,283
【Ai复古】义和团练拳珍贵录像,5,3,284
语文老师又来测评课了,8,3,285
我的世界极小概率事件天荒开局,23,3,286
【纪录片】【此时此刻】阿里巴巴首部抗疫情纪录片，马云点赞！,4,3,287
快2025年了！实拍广州！看看打击三非黑人成果！,14,3,288
女生称遭网约车司机性侵，鉴定结果已出！警方：长裙检出司机DNA,3,3,289
姜萍决赛引发剧烈关注，如果真涉嫌造假，其背后团队恐将牢狱之灾,21,3,290
别的竞赛党用一年学完高中数学？我只用三周！,10,3,291
欧洲杯最揪心一幕：匈牙利前锋被撞！丧失知觉四肢僵直 确定报销,13,3,292
每日弔图（152）,1,3,293
假努力的孩子最可怜,23,3,294
AI还是小看我们姜萍的天才程度了了,14,4,295
考生的所有类型（各显神通版）,19,3,296
刘 琳 演 妈，配 享 太 庙【人间最强】,12,3,297
方程的意义公开课——蒋萍,3,3,298
大伙来评评理。另外，我最近有点忙。,20,36,299
如何评价【一个莎比】高等数学好不需要中专数学好,1,36,300
什么消费都在降级，可看病这事没法降级！,1,36,301
【初音】揭露真相！【未来有你2024】演唱会画师事件起底,1,36,302
领证后的隐私回答！Q&A,1,36,303
姜萍，考83你让我怎么相信没造假？,1,36,304
姜萍，决赛加油,1,36,305
陆振华！你这个闹钟⏰,1,36,306
江苏高考文科女状元，遭多所985名校拒绝录取，成为“最惨状元,1,36,307
范丽琴最全颜值进化史（3月～11月）,1,36,308
对方的哪个瞬间让你相亲终止了？,1,36,309
【黄东萍】胯下击球（2）,1,36,310
中考后，这样准备高中竞赛！,1,36,311
姜萍要是在决赛中打入前十名。周总的水晶牛酒应该会大卖特卖。周总情怀大气，送大铁牛酒慰问姜萍父亲。不出意外话，周总下半年大铁牛供不应求。,1,36,312
王蓉蓉  傅丁奎休要发癫狂!蓉蓉早期 高亮版,1,36,313
姜萍哭了! 赵斌放话了考好给500万! 顶着许多数学大佬纷纷质疑声逆流而上参加阿里决赛，考不好又要遭受新的一轮拷问!,1,36,314
历史最强数学家排名（上）,1,36,315
就离谱，谁还敢质疑乔老爷的眼光？？？,1,36,316
我的宝，你这是怎么了？怎么又哭了,1,36,317
中专生逆袭985,1,36,318
《 非 常 简 单 》,1,36,319
国际数学奥林匹克满分得主谈姜萍：数学知识或已触达研究生阶段,18,1,320
什么热血高校,1,1,321
不列颠xue液污染事件,1,1,322
毕导千万播放的蓝莓视频，竟然讲错了？？,1,1,323
张雪峰 射出的那颗子弹在今年爆开了，他存在的意义被具象化了。,1,1,324
3月31日上午,49,2,325
E419 我为什么这么“讨厌“董宇辉？嫉妒？由爱生恨？详细剖析自己的阴暗心理，到底是什么让我对他从喜欢变成了厌恶,1,1,326
如果某一个散修纯靠自己修练在22岁时成为一星斗圣，那么他去古族向熏儿求婚能成功吗？,1,1,327
不是，哥们你们来真的啊？,1,1,328
大限将至？恒大最后一张“护身符”限期34天,1,3,329
#徐海乔一个都没争取到  前夫哥和你的经纪人上一边去，好好反思吧！#刘亦菲徐海乔#刘亦菲玫瑰故事,1,1,330
大意被击败，靴子都被脱掉了,4,1,331
笑死，他仅靠10分钟戏份就成功血洗b站……,1,1,332
让我们回到满是弹幕的十八年前!!彭格列永不完结！,17,1,333
日本女主播收到地震预警当场秒变脸 瞬间切换表情报道 网友：专业！,11,1,334
一万元在狂魔哥直播间点一首anak ，魔子当场听立在孕吐,6,1,335
关于我入职圣杯玩具公司，把老板笑s这件事,7,1,336
姜萍为什么没有名校抢着要？,1,1,337
姜萍其实从一开始就承认了作弊的事实？姜萍事件新证据：她的神态,4,1,338
【长工】高分美剧《黑袍纠察队》第四季 第4集，阿祖一笑生死难料！享受复仇的快感，但内心极度煎熬！！,1,1,339
雪王：蓝蓝的天空~,1,1,340
某信视频号逆天评论第二期。最后一期说这个事件,7,1,341
小狗：我是毛毯，请你看不见我,8,1,342
华罗庚&姜萍  历史总是惊人的相似！！！,3,1,343
第37届化学竞赛决赛第一场第四题 最强大脑还是赌神高进？,1,1,344
高中最重要的是努力的去理解题目，而不是死记硬背,1,1,345
伪史系列：蒸汽机起源于中国,26,4,346
《高等数学》同济版 2024年更新|宋浩老师,1,81,347
#姜萍老师称其最好申请到常熟理工#姜萍或因专业问题无缘浙大#17岁女孩姜萍参加阿里巴巴达摩院全球数学竞赛以12的成绩晋级决赛引发关注。姜萍的梦想是浙江大学,1,1,348
外媒报道：刘亦菲  《玫瑰的故事》,13,1,349
外国就是开放,29,1,350
中国大地上的公司法——新《公司法》生效圆桌论坛【20240627洪范直播高清完整版】,14,2,351
你怎么看消费,18,4,352
一张普通的中专数学试卷,1,4,353
江苏考生，光速复读，再见各位,2,4,354
【斌济 | 灵降 | 甜向】如果他们的故事是一本耽美修真文，书名会是什么？| BGM: 年少小欢喜,12,2,355
两种方法解方程组 | 选自2000年HMMT,1,4,356
校长：卧龙凤雏... 体育生：谁TM这么大胆，校长好..,1,4,357
这才是真正的天才，天才无需多言。#天才,2,4,358
2024年高考，什么专业？能够抵得上别人三代的努力,6,4,359
时隔九年重回LPL现场真的很激动紧张~,1,4,360
六个月无人可解，中学生就能理解的拉马努金嵌套根式,2,10,361
爽子怎么没留下几部好的古装剧 让我看看脸也好啊,1,4,362
2024年阿巴阿巴数学竞赛决赛真题试卷,9,4,363
一见终生难忘的数学趣题,4,4,364
郭有才丈母娘眼光有多毒？首次见面评价极高，照片曝光比女儿还美,20,37,365
用数据说话：“姜萍事件”B站舆论如何？,1,37,366
抽卡一千万次终于抽到大帝修为 可是今日却被一个筑基期诬陷 什么？你想死？《超越师弟》,1,37,367
曝李玟摔倒后节目组没喊停,1,37,368
【第一现场】百米九秒，多多鼓励，请别质疑,1,37,369
别的学校毕业典礼，不是COS派达星去求拨穗，就是和老师合拍，悟空下山经典片段，复旦大学法学院学生可好，毕业典礼上，众目睽睽之下，居然当众打老师，据说还打错了.,1,37,370
【剧雪|嫂子的故事】“为你，千千万万遍……”,1,37,371
姜萍的数学竞赛成绩有多牛？ 数学专业的入围选手：“非常震撼，我七道题完全会答的仅四道”,1,37,372
"""姜萍独立完成决赛，微笑走出考场？""",1,37,373
梅西事件，是一场大型魔幻秀,1,37,374
专家称养娃难可求助亲戚，让年轻人负债生娃？,1,37,375
【独家】伍六七之暗影宿命 第1集 不死黑鸟【1月国创】,1,37,376
哥哥清华博士，弟弟710分，刷新了老张的认知！,1,37,377
2023诺贝尔物理学奖杂谈: 高能物理盛宴已毕？,1,37,378
压抑有多可怕?报复性熬夜成瘾拖延是自我意识抑郁焦虑前的呼救【脑科学】,1,37,379
“高端洋品牌”国内生存现状,1,37,380
上新了！浙大本科录取通知书里藏了盏“灯”,1,37,381
怎样判断，一段关系，能不能继续,1,37,382
外国歌手水平真的很一般！,1,37,383
如果不是姜萍，我还不知道我们湖南有涟水这个地方😭,1,37,384
比荆轲更强的刺客，用一条烤鱼刺杀国君！,1,37,385
我校2024届毕业生毕业典礼暨学位授予仪式隆重举行,19,4,386
北大“韦神”出题，初二学生给出标准答案,2,4,387
不愧是魔都，连小女孩都那么潮。,1,4,388
姜萍造假实锤后，超话某些逆天言论,7,4,389
这些人生的真相希望你看完之后仍然能热爱生活！,1,4,390
【数学基础与数学哲学】怎么证明1+1=2？,9,4,391
清华大学颜宁教授、博士生导师。美丽与智慧并存。30岁就成为清华大学最年轻的教授。#知识改变命运 #这样的课堂氛围真的爱了 #清华大学,5,4,392
原以为姑娘掉进坑里，没想到是开心就好,8,4,393
王炸神剧！病态家庭真假儿子，一集上头！万字细嗦《看不见影子的少年》第一期包含；构图、色彩、镜头语言、剧情细嗦等,23,4,394
20240604192722_0,6,4,395
读中专也很香,2,4,396
35岁“高考钉子户”唐尚珺公布第16次高考成绩，超过600分！具体分数暂时保密！,2,4,397
我潜入考试院网站，把高考分数改成751，定什么罪？,1,4,398
全网疯传“上海咖啡店发疯30秒”背后真相，暴露年轻人的悲哀困境,3,4,399
柯南最新主线情报！20年前的伏笔回收！黑衣组织BOSS变婴儿？漫画1126-1128话！,2,4,400
火锅店内男子见隔壁桌女孩漂亮，和同桌人员打赌后强吻女子：拘10日,2,4,401
为什么会有那么多人呼吁浙大破格录取姜萍？,11,3,402
【阿盖尔：神秘特工】玩转谍战！反转到底！,27,3,403
2024阿里巴巴全球数学竞赛决赛（分析赛道）复盘,1,3,404
下落不明多年的亲生儿子，竟突然回来,8,3,405
感谢有你 陪我走过了2023年——Java之父于麻子,2,3,406
【五棵树Fb模考】25国考行测大赛（第二十三季）今日成绩95.7——数量关系分析讲解，最后有总结,1,3,407
太好咯 被中专开除咯 可以去玩说唱咯！,2,4,408
我们蓉蓉选徒弟，身材都是严格按张派来的。,4,3,409
元帅：老伯当初帮了彭总，怎料九年后彭老总上门报恩，送五块大洋,4,3,410
著名京剧旦角们的那些盛世美颜。,3,3,411
