Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
平和校长在姜萍事件初期谈姜萍，一下子就道出事件本质,https://www.bilibili.com/video/BV1KM4m1U7jY/,哈鲁奥菲,· 6-23,4.5万,49,01:54,2024/06/26
姜萍反转，对线黑子【MVP结算】剑桥哥，你的互联网最佳嘴替,https://www.bilibili.com/video/BV14E421A7vZ/,世界记忆冠军大卫哥,· 6-19,33.7万,779,03:28,2024/06/26
姜萍事件最新长文：贫困生用苹果X、记笔记只会二次函数！,https://www.bilibili.com/video/BV1tf421Q7wq/,最新速报,· 6-21,14.7万,65,02:12,2024/06/26
雌雄蜗牛 有没有作弊我真不知道，但我知道现在讨论的环境已经和最终的事实毫无关系了#灰色故事 #泽华君 #姜萍,https://www.bilibili.com/video/BV1Dy411q7Ed/,泽华君呀,· 6-25,8.1万,80,01:39,2024/06/26
虚假的数学天才姜萍vs真正的数学天才刘奔,https://www.bilibili.com/video/BV1om421373r/,和美团拼了,· 6-19,12.2万,84,01:08,2024/06/26
基本可以实锤了吧 姜萍作弊成绩造假 抄作业二分之正无穷都能抄错！怎么做到数学比赛第12名的不言而喻,https://www.bilibili.com/video/BV1zYgwesESm/,抽象史神,· 6-19,29.4万,49,01:10,2024/06/26
姜萍采访视频完整版，从中已经可以看出造假的端倪,https://www.bilibili.com/video/BV1hy411z7B9/,哈鲁奥菲,· 6-19,12.7万,322,05:44,2024/06/26
凤凰网报道姜萍了，质疑她的人慌不慌？🤣,https://www.bilibili.com/video/BV15H4y1w761/,资深de魔法师,· 4小时前,107,0,01:26,2024/06/26
阿里数赛选手联名信。姜萍学校多人实锤姜萍并无真才实学。,https://www.bilibili.com/video/BV11T421e784/,亚洲老大李景亮,· 6-22,8.3万,6,00:59,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1bS421o74T/,甄机坊,· 昨天,5.8万,23,08:21,2024/06/26
实拍姜萍中专学校，昨天还有人在门口祈祷,https://www.bilibili.com/video/BV1oS421d7dJ/,综艺娱乐官方,· 6-25,2.1万,0,01:22,2024/06/26
关于姜萍阿里巴巴测试题以及板书离谱错误，我想说的,https://www.bilibili.com/video/BV1qs421T7VE/,丶枕河,· 6-17,15.5万,78,08:31,2024/06/26
姜萍事件：一个互联网上的巨大乐子,https://www.bilibili.com/video/BV1AggUeoENU/,白菜Pro-Max,· 6-21,15万,124,01:22,2024/06/26
姜萍成绩是否造假?世界记忆冠军大卫哥连麦阿里公司员工，这个员工说他也认为姜萍造假，但是矛盾应该指向谁确实是个需要认真思考的问题，大家觉得怎么样？,https://www.bilibili.com/video/BV1Cy411z7Ek/,甄机坊,· 6-20,9144,2,03:02,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1gw4m1e7dz/,娱乐前线突击,· 13小时前,5.3万,25,07:59,2024/06/26
姜萍考试绝对没有作弊！,https://www.bilibili.com/video/BV1R4421S7Np/,孙姜丝呀,· 6-18,8938,38,01:49,2024/06/26
达摩院最新消息，姜萍决赛成绩可能世界前三,https://www.bilibili.com/video/BV1Nx4y1t7UK/,综艺娱乐官方,· 22小时前,5.6万,0,00:29,2024/06/26
五百万人观看姜萍阿里决赛！！！姜萍终于证明了自己！！！！,https://www.bilibili.com/video/BV1sT421a7xE/,热门追踪后续,· 6-23,41.8万,23,03:11,2024/06/26
姜萍事件最新消息，已有正义之光去12339跟12345举报投诉了！真象即将大白,https://www.bilibili.com/video/BV1Nx4y1t71W/,综艺娱乐官方,· 11小时前,5284,0,02:31,2024/06/26
达摩院最新消息，姜萍决赛成绩可能世界前三,https://www.bilibili.com/video/BV1Nx4y1t7UK/,综艺娱乐官方,· 22小时前,5.6万,0,00:29,2024/06/26
姜萍板书vs韦神板书 阿里巴巴数学竞赛疑似造假,https://www.bilibili.com/video/BV1i4421S7y3/,能再表演一遍那个吗,· 6-23,10.8万,134,00:42,2024/06/26
